year,hare,lynx
1845,28000,NA
1846,25000,NA
1847,25000,NA
1848,25000,NA
1849,12000,NA
1850,26000,NA
1851,53000,NA
1852,80000,2174
1853,80000,2106
1854,90000,3021
1855,69000,4754
1856,81000,7324
1857,95000,8197
1858,71000,6913
1859,28000,4772
1860,18000,2383
1861,19000,1540
1862,40000,1508
1863,5000,NA
1864,152000,NA
1865,145000,NA
1866,105000,NA
1867,45000,NA
1868,22000,NA
1869,2000,NA
1870,3000,NA
1871,8000,NA
1872,7000,NA
1873,62000,NA
1874,50000,NA
1875,51000,NA
1876,105000,NA
1877,88000,NA
1878,64000,NA
1879,19000,NA
1880,10000,NA
1881,16000,NA
1882,15000,NA
1883,15000,NA
1884,45000,NA
1885,54000,NA
1886,138000,NA
1887,139000,NA
1888,95000,NA
1889,38000,NA
1890,25000,NA
1891,52000,NA
1892,56000,NA
1893,66000,NA
1894,62000,NA
1895,80000,NA
1896,95000,NA
1897,58000,5893
1898,20000,4270
1899,5000,2069
1900,2000,1824
1901,18000,1532
1902,1000,2272
1903,6000,2335
1904,45000,3344
1905,50000,4754
1906,20000,4467
1907,20000,2623
1908,22000,1171
1909,27000,797
1910,50000,1184
1911,55000,1438
1912,78000,1552
1913,70000,2949
1914,59000,NA
1915,28000,4242
1916,20000,4664
1917,15000,1889
1918,15000,722
1919,25000,317
1920,35000,287
1921,65000,380
1922,78000,762
1923,82000,1467
1924,65000,1904
1925,26000,3029
1926,15000,3178
1927,10000,1806
1928,1000,664
1929,2000,349
1930,3000,288
1931,22000,575
1932,75000,931
1933,95000,1265
1934,78000,1692
1935,20000,1861
1936,NA,1252
1937,NA,591
1938,NA,445
1939,NA,343
1940,NA,NA
1941,NA,NA
1942,NA,NA
1943,NA,NA
1944,NA,NA
1945,NA,NA
1946,NA,NA
1947,NA,NA
1948,NA,NA
1949,NA,NA
1950,NA,NA
1951,NA,NA
1952,NA,NA
1953,NA,NA
1954,NA,NA
1955,NA,NA
1956,NA,NA
1957,NA,NA
1958,NA,NA
1959,NA,NA
1960,NA,NA
1961,NA,NA
1962,NA,NA
1963,NA,NA
1964,NA,NA
1965,NA,NA
1966,NA,NA
1967,NA,NA
1968,NA,NA
1969,NA,NA
1970,NA,NA
1971,NA,NA
1972,NA,NA
1973,NA,NA
1974,NA,NA
1975,NA,NA
1976,NA,NA
1977,NA,NA
1978,NA,NA
1979,NA,NA
1980,NA,NA
1981,NA,NA
1982,NA,NA
1983,NA,NA
1984,NA,NA
1985,NA,NA
1986,NA,NA
1987,NA,NA
1988,NA,NA
1989,NA,NA
1990,NA,NA
1991,NA,NA
1992,NA,NA
1993,NA,NA
1994,NA,NA
1995,NA,NA
1996,NA,NA
1997,NA,NA
1998,NA,NA
1999,NA,NA
2000,NA,NA
2001,NA,NA
2002,NA,NA
2003,NA,NA
2004,NA,NA
2005,NA,NA
2006,NA,NA
